ID,Word,Suggest,Answer,Answer2,display
1,忠告,かんげん,諫言,NoExist,諫言
2,軽少,ささい,些細,瑣細,些(瑣)細
3,可憐,せいそ,清楚,NoExist,清楚
4,消長,ふちん,浮沈,NoExist,浮沈
5,動向,すうせい,趨勢,NoExist,趨勢
6,誘発,じゃっき,惹起,NoExist,惹起
7,峻厳,かれつ,苛烈,NoExist,苛烈
8,壊滅,がかい,瓦解,NoExist,瓦解
9,秘匿,いんぺい,隠蔽,NoExist,隠蔽
10,復活,そせい,蘇生,甦生,蘇(甦)生
11,酸鼻,むざん,無惨,NoExist,無惨
12,果報,みょうり,冥利,NoExist,冥利
13,親睦,ゆうぎ,友誼,NoExist,友誼
14,旺盛,けんこう,軒昂,NoExist,軒昂
15,瞬間,せつな,刹那,NoExist,刹那
16,狼狽,しゅうしょう,周章,NoExist,周章
17,魔手,そうが,爪牙,NoExist,爪牙
18,突如,こつぜん,忽然,NoExist,忽然
19,仮寓,きりゅう,寄留,NoExist,寄留
20,評判,こうせつ,巷説,NoExist,巷説
21,教導,ぼくたく,木鐸,NoExist,木鐸
22,前駆,せんべん,先鞭,NoExist,先鞭
23,道楽,ほうとう,放蕩,NoExist,放蕩
24,坐視,せいかん,静観,NoExist,静観
25,流布,でんぱ,伝播,NoExist,伝播
26,穎敏,さいり,犀利,NoExist,犀利
27,未明,まいそう,昧爽,NoExist,昧爽
28,贋作,ぎさく,偽作,NoExist,偽作
29,高慢,ふそん,不遜,NoExist,不遜
30,自儘,ほうし,放恣,放肆,放恣(肆)
31,一期,ひっせい,畢生,NoExist,畢生
32,莫逆,べっこん,別懇,NoExist,別懇
33,花形,ちょうじ,寵児,NoExist,寵児
34,出奔,ちくでん,逐電,NoExist,逐電
35,細大,こさい,巨細,NoExist,巨細
36,愉悦,きんき,欣喜,NoExist,欣喜
37,従容,ゆうよう,悠揚,NoExist,悠揚
38,軽率,そこつ,粗忽,楚忽,粗(楚)忽
39,杜撰,ざっぱく,雑駁,NoExist,雑駁
40,巨匠,せきがく,碩学,NoExist,碩学
41,不審,うさん,胡散,NoExist,胡散
42,隠遁,だつぞく,脱俗,NoExist,脱俗
43,遭遇,ほうちゃく,逢着,逢著,逢着(著)
44,吉兆,しょうずい,祥瑞,NoExist,祥瑞
45,元凶,しゅかい,首魁,NoExist,首魁
46,選出,ばってき,抜擢,NoExist,抜擢
47,矛盾,どうちゃく,撞着,撞著,撞着(著)
48,競争,かくちく,角逐,NoExist,角逐
49,要点,せいこく,正鵠,NoExist,正鵠
50,,,,NoExist,
51,,,,NoExist,
52,,,,NoExist,
53,,,,NoExist,
54,,,,NoExist,
55,,,,NoExist,
56,,,,NoExist,
57,,,,NoExist,
58,,,,NoExist,
59,,,,NoExist,
60,,,,NoExist,
61,,,,NoExist,
62,,,,NoExist,
63,,,,NoExist,
64,,,,NoExist,
65,,,,NoExist,
66,,,,NoExist,
67,,,,NoExist,
68,,,,NoExist,
69,,,,NoExist,
70,,,,NoExist,
71,,,,NoExist,
72,,,,NoExist,
73,,,,NoExist,
74,,,,NoExist,
75,,,,NoExist,
76,,,,NoExist,
77,,,,NoExist,
78,,,,NoExist,
79,,,,NoExist,
80,,,,NoExist,
81,,,,NoExist,
82,,,,NoExist,
83,,,,NoExist,
84,,,,NoExist,
85,,,,NoExist,
86,,,,NoExist,
87,,,,NoExist,
88,,,,NoExist,
89,,,,NoExist,
90,,,,NoExist,
91,,,,NoExist,
92,,,,NoExist,
93,,,,NoExist,
94,,,,NoExist,
95,,,,NoExist,
96,,,,NoExist,
97,,,,NoExist,
98,,,,NoExist,
99,,,,NoExist,
100,,,,NoExist,
2001,祝賀,ちょうとう,弔悼,NoExist,弔悼
2002,陰鬱,めいろう,明朗,NoExist,明朗
2003,混同,しゅんべつ,峻別,NoExist,峻別
2004,灌木,きょうぼく,喬木,NoExist,喬木
2005,暗愚,そうめい,聡明,NoExist,聡明
2006,失墜,ばんかい,挽回,NoExist,挽回
2007,得度,げんぞく,還俗,NoExist,還俗
2008,荒蕪,ひよく,肥沃,NoExist,肥沃
2009,進展,ていとん,停頓,NoExist,停頓
2010,泰然,ろうばい,狼狽,NoExist,狼狽
2011,懸念,あんど,安堵,NoExist,安堵
2012,静粛,けんそう,喧騒,喧躁,喧騒(噪/躁/譟)
2013,険阻,へいたん,平坦,NoExist,平坦
2014,繁栄,ちょうらく,凋落,彫落,凋(彫)落
2015,簡明,かいじゅう,晦渋,NoExist,晦渋
2016,称賛,あくば,悪罵,NoExist,悪罵
2017,没落,ぼっこう,勃興,NoExist,勃興
2018,還俗,ていはつ,剃髪,NoExist,剃髪
2019,黄昏,ふつぎょう,払暁,NoExist,払暁
2020,正史,はいし,稗史,NoExist,稗史
2021,寛大,しゅんれつ,峻烈,NoExist,峻烈
2022,鮮明,もこ,模糊,NoExist,模糊
2023,莫大,きんしょう,僅少,NoExist,僅少
2024,一斑,ぜんぴょう,全豹,NoExist,全豹
2025,威嚇,いぶ,慰撫,NoExist,慰撫
2026,豊沃,こうぶ,荒蕪,NoExist,荒蕪
2027,豪邸,ぼうおく,茅屋,NoExist,茅屋
2028,精密,ずさん,杜撰,NoExist,杜撰
2029,追跡,とんそう,遁走,NoExist,遁走
2030,進捗,ぎょうたい,凝滞,NoExist,凝滞
2031,根幹,まっしょう,末梢,NoExist,末梢
2032,熟視,いちべつ,一瞥,NoExist,一瞥
2033,狭窄,こうばく,広漠,宏漠,広(宏)漠
2034,慧敏,うぐ,迂愚,NoExist,迂愚
2035,堅牢,じゅうぜい,柔脆,NoExist,柔脆
2036,進取,たいえい,退嬰,NoExist,退嬰
2037,坦夷,けんしゅん,険峻,嶮峻,険(嶮)峻
2038,覚醒,こんすい,昏睡,NoExist,昏睡
2039,富貴,ひんせん,貧賤,NoExist,貧賤
2040,必然,がいぜん,蓋然,NoExist,蓋然
2041,潤沢,ひっぱく,逼迫,NoExist,逼迫
2042,緊張,しかん,弛緩,NoExist,弛緩
2043,竣成,きこう,起工,NoExist,起工
2044,脆弱,きょうじん,強靭,NoExist,強靭
2045,安泰,きたい,危殆,NoExist,危殆
2046,公平,へんぱ,偏頗,NoExist,偏頗
2047,抽出,しっかい,悉皆,NoExist,悉皆
2048,End,,,NoExist,
2049,,,,NoExist,
2050,,,,NoExist,
2051,,,,NoExist,
2052,,,,NoExist,
2053,,,,NoExist,
2054,,,,NoExist,
2055,,,,NoExist,
2056,,,,NoExist,
2057,,,,NoExist,
2058,,,,NoExist,
2059,,,,NoExist,
2060,,,,NoExist,
2061,,,,NoExist,
2062,,,,NoExist,
2063,,,,NoExist,
2064,,,,NoExist,
2065,,,,NoExist,
2066,,,,NoExist,
2067,,,,NoExist,
2068,,,,NoExist,
2069,,,,NoExist,
2070,,,,NoExist,
2071,,,,NoExist,
2072,,,,NoExist,
2073,,,,NoExist,
2074,,,,NoExist,
2075,,,,NoExist,
2076,,,,NoExist,
2077,,,,NoExist,
2078,,,,NoExist,
2079,,,,NoExist,
2080,,,,NoExist,
2081,,,,NoExist,
2082,,,,NoExist,
2083,,,,NoExist,
2084,,,,NoExist,
2085,,,,NoExist,
2086,,,,NoExist,
2087,,,,NoExist,
2088,,,,NoExist,
2089,,,,NoExist,
2090,,,,NoExist,
2091,,,,NoExist,
2092,,,,NoExist,
2093,,,,NoExist,
2094,,,,NoExist,
2095,,,,NoExist,
2096,,,,NoExist,
2097,,,,NoExist,
2098,,,,NoExist,
2099,,,,NoExist,
2100,,,,NoExist,